,Country,Year, Quantity in Millions _x,Investment_Totals,Counts,Month,Chinese Entity, Quantity in Millions _y,Share size,Transaction Party,Sector,Subsector,Region,BRI,Iso_alpha,Investment_Count
47,Algeria,2013,1690,2,19,October,"Power Construction Corp, Yingli Green Energy",510,,SKTM,Energy,Alternative,Arab Middle East and North Africa,1,DZA,1
50,Algeria,2013,1690,2,19,December,China Railway Construction,1180,,,Transport,Autos,Arab Middle East and North Africa,1,DZA,1
45,Bangladesh,2013,180,1,45,November,Sinomach,180,,Pacific Bangladesh Telecom,Technology,Telecom,West Asia,1,BDG,1
17,Bolivia,2013,400,2,17,October,Sinomach,100,,,Transport,Rail,South America,1,BOL,1
18,Bolivia,2013,400,2,17,October,China Aerospace Science and Technology,300,,Tupac Katari,Technology,Telecom,South America,1,BOL,1
12,Cambodia,2013,410,1,30,December,Huaneng Power,410,51%,Royal Group,Energy,Hydro,East Asia,1,KHM,1
8,Congo,2013,1150,1,12,November,Evergreen,1150,,,Chemicals,Unspecified,Sub-Saharan Africa,1,COG,1
2,Equatorial Guinea,2013,480,2,5,December,China Communications Construction,350,,,Transport,Autos,Sub-Saharan Africa,1,GNQ,1
3,Equatorial Guinea,2013,480,2,5,November,Sinomach,130,,,Utilities,Unspecified,Sub-Saharan Africa,1,GNQ,1
1,Ethiopia,2013,2460,1,37,December,"China Railway Construction, China Railway Engineering",2460,,,Transport,Rail,Sub-Saharan Africa,1,ETH,1
46,Ghana,2013,240,1,19,October,Three Gorges,240,,GWCL,Utilities,Unspecified,Sub-Saharan Africa,1,GHA,1
23,Guinea,2013,450,1,15,October,Chinalco,450,,,Metals,Steel,Sub-Saharan Africa,1,GIN,1
42,Indonesia,2013,1080,2,76,December,MCC,180,,SMI,Metals,Steel,East Asia,1,IDN,1
43,Indonesia,2013,1080,2,76,October,China Communications Construction,900,70%,Daya Bumindo,Transport,Shipping,East Asia,1,IDN,1
32,Iraq,2013,1580,3,26,December,China Communications Construction,160,,,Utilities,Unspecified,Arab Middle East and North Africa,1,IRQ,1
