,Country,Counts,Year, Quantity in Millions _x,Investment_Totals,Month,Chinese Entity, Quantity in Millions _y,Share size,Transaction Party,Sector,Subsector,Region,BRI,Iso_alpha,Investment_Count
0,Singapore,79,2013,270,2,November,Power Construction Corp,150,,,Transport,Rail,East Asia,1,SGP,1
1,Singapore,79,2013,270,2,November,Yuanda,120,,,Real estate,Construction,East Asia,1,SGP,1
2,Singapore,79,2014,2070,10,September,Shanghai Tunnel Engineering,270,,,Transport,Rail,East Asia,1,SGP,1
3,Singapore,79,2014,2070,10,August,MCC,380,,,Real estate,Property,East Asia,1,SGP,1
4,Singapore,79,2014,2070,10,July,Power Construction Corp,200,50%,Sembcorp,Transport,Rail,East Asia,1,SGP,1
5,Singapore,79,2014,2070,10,July,State Construction Engineering,190,,,Real estate,Construction,East Asia,1,SGP,1
6,Singapore,79,2014,2070,10,May,Shanghai Shentong,290,,,Transport,Rail,East Asia,1,SGP,1
7,Singapore,79,2014,2070,10,May,Alibaba,210,10%,Singapore Post,Logistics,Unspecified,East Asia,1,SGP,1
8,Singapore,79,2014,2070,10,February,"Bank of China, China Life, Hopu Investment",160,2%,Global Logistics Properties,Logistics,Unspecified,East Asia,1,SGP,1
9,Singapore,79,2014,2070,10,September,State Construction Engineering,100,,,Real estate,Construction,East Asia,1,SGP,1
10,Singapore,79,2015,6650,18,January,"Jiangsu Changjiang, Semiconductor Manufacturing International, IC Fund",1660,100%,STATS ChipPAC,Technology,Unspecified,East Asia,1,SGP,1
11,Singapore,79,2015,6650,18,March,CITIC,730,55%,United Envirotech,Utilities,Unspecified,East Asia,1,SGP,1
12,Singapore,79,2015,6650,18,May,MCC,230,,,Real estate,Property,East Asia,1,SGP,1
13,Singapore,79,2015,6650,18,June,China Minsheng Investment,1500,,,Finance,Investment,East Asia,1,SGP,1
14,Singapore,79,2015,6650,18,July,Alibaba,150,,Singapore Post,Logistics,Unspecified,East Asia,1,SGP,1
15,Singapore,79,2015,6650,18,October,"CIC, Didi Kuaidi",100,,Grab Taxi,Transport,Autos,East Asia,1,SGP,1
16,Singapore,79,2015,6650,18,December,China Communications Construction,100,100%,,Real estate,Property,East Asia,1,SGP,1
17,Singapore,79,2015,6650,18,December,State Construction Engineering,110,,,Real estate,Construction,East Asia,1,SGP,1
18,Singapore,79,2016,10960,30,October,Shenzhen Government,990,100%,ACR Capital,Finance,Unspecified,East Asia,1,SGP,1
19,Singapore,79,2016,10960,30,December,Qingjian,220,,,Real estate,Property,East Asia,1,SGP,1
20,Singapore,79,2016,10960,30,December,Shanghai Tunnel Engineering,220,,,Transport,Rail,East Asia,1,SGP,1
21,Singapore,79,2016,10960,30,December,Shanghai Tunnel Engineering,110,,Woh Hup,Transport,Rail,East Asia,1,SGP,1
22,Singapore,79,2016,10960,30,April,China International Marine Containers,190,77%,Pteris,Logistics,Unspecified,East Asia,1,SGP,1
23,Singapore,79,2016,10960,30,April,Alibaba,1000,51%,Lazada,Other,Consumer,East Asia,1,SGP,1
24,Singapore,79,2016,10960,30,March,China Communications Construction,130,,,Transport,Rail,East Asia,1,SGP,1
25,Singapore,79,2016,10960,30,March,Sinochem,180,55%,Halcyon Agri,Agriculture,Unspecified,East Asia,1,SGP,1
26,Singapore,79,2016,10960,30,April,Minmetals,140,,,Transport,Rail,East Asia,1,SGP,1
27,Singapore,79,2016,10960,30,May,Qingjian,460,,,Real estate,Property,East Asia,1,SGP,1
28,Singapore,79,2016,10960,30,August,China Railway Engineering,180,,,Transport,Rail,East Asia,1,SGP,1
29,Singapore,79,2016,10960,30,April,State Construction Engineering,490,,,Real estate,Construction,East Asia,1,SGP,1
30,Singapore,79,2017,25170,44,June,Alibaba,1000,32%,Lazada,Other,Consumer,East Asia,1,SGP,1
31,Singapore,79,2017,25170,44,May,"Logan Property, Nanshan Group",750,,,Real estate,Property,East Asia,1,SGP,1
32,Singapore,79,2017,25170,44,February,Minmetals,110,100%,,Real estate,Property,East Asia,1,SGP,1
33,Singapore,79,2017,25170,44,February,State Construction Engineering,220,,,Real estate,Property,East Asia,1,SGP,1
34,Singapore,79,2017,25170,44,July,Didi Chuxing,500,,Grab Taxi,Transport,Autos,East Asia,1,SGP,1
35,Singapore,79,2017,25170,44,August,Yanlord-led consortium,220,18%,Perennial Real Estate,Real estate,Property,East Asia,1,SGP,1
36,Singapore,79,2017,25170,44,September,State Construction Engineering,120,,,Transport,Rail,East Asia,1,SGP,1
37,Singapore,79,2017,25170,44,September,HNA,1030,100%,CWT,Logistics,Unspecified,East Asia,1,SGP,1
38,Singapore,79,2017,25170,44,December,Qingjian,100,,,Real estate,Construction,East Asia,1,SGP,1
39,Singapore,79,2017,25170,44,November,Shanghai Tunnel Engineering,350,,,Utilities,Unspecified,East Asia,1,SGP,1
40,Singapore,79,2017,25170,44,November,State Construction Engineering,150,,,Transport,Rail,East Asia,1,SGP,1
41,Singapore,79,2017,25170,44,November,"Vanke, Hopu, Hillhouse, Bank of China",9060,79%,Global Logistics Property,Logistics,Unspecified,East Asia,1,SGP,1
42,Singapore,79,2017,25170,44,October,China Railway Engineering,230,,,Transport,Rail,East Asia,1,SGP,1
43,Singapore,79,2017,25170,44,October,CIC,370,10%,Equis Energy,Energy,Alternative,East Asia,1,SGP,1
44,Singapore,79,2018,28410,51,October,Minmetals,250,,,Real estate,Construction,East Asia,1,SGP,1
45,Singapore,79,2018,28410,51,August,State Construction Engineering,160,,,Real estate,Property,East Asia,1,SGP,1
46,Singapore,79,2018,28410,51,June,China Communications Construction,200,100%,,Transport,Shipping,East Asia,1,SGP,1
47,Singapore,79,2018,28410,51,May,State Construction Engineering,130,,,Real estate,Construction,East Asia,1,SGP,1
48,Singapore,79,2018,28410,51,May,Qingjian,130,,Tampines,Real estate,Construction,East Asia,1,SGP,1
49,Singapore,79,2018,28410,51,March,Alibaba,2000,,,Other,Consumer,East Asia,1,SGP,1
50,Singapore,79,2018,28410,51,June,YY,370,32%,Bigo,Entertainment,Unspecified,East Asia,1,SGP,1
51,Singapore,79,2019,35010,72,July,Qingjian,140,,,Real estate,Property,East Asia,1,SGP,1
52,Singapore,79,2019,35010,72,July,State Construction Engineering,390,,Singapore Institute of Technology,Other,Education,East Asia,1,SGP,1
53,Singapore,79,2019,35010,72,July,State Construction Engineering,260,,,Real estate,Construction,East Asia,1,SGP,1
54,Singapore,79,2019,35010,72,August,State Construction Engineering,210,,JTC,Real estate,Construction,East Asia,1,SGP,1
