Port,Latitude,Longitude
 Abu Dhabi ,54.3666666666666,24.4666666666666
 Ar Ruways ,52.7333333333333,24.1166666666666
 Khor al Fakkan ,56.3500000000000,25.3333333333333
 Mina Khalid ,55.3666666666666,25.3500000000000
 Mina Khalifa\/Abu Dhabi ,54.6666666666666,24.8333333333333
 Umm al Qaiwain ,55.5500000000000,25.5666666666666
 Saint John's ,-61.8500000000000,17.1166666666666
 Pago Pago ,-170.7000000000000,14.2666666666666
 Chattogram ,91.8333333333333,22.3333333333333
 Mina Sulman Port ,50.6166666666666,26.2000000000000
 Banana ,12.4012118927320,-6.0036332669308
 Pointe Noire ,11.8500000000000,-4.8000000000000
 Antofagasta ,-70.3833333333333,-23.6333333333333
 Arica ,-70.3166666666666,-18.4833333333333
 Coronel ,-73.1500000000000,-37.0166666666666
 Iquique ,-70.1333333333333,-20.2166666666666
 Lirquén ,-72.9833333333333,-36.7000000000000
 Mejillones ,-70.4500000000000,-23.1000000000000
 Puerto Angamos ,-70.4500000000000,-23.0833333333333
 Punta Arenas ,-70.9333333333333,-53.1333333333333
 San Antonio ,-71.6000000000000,-33.6000000000000
 San Vicente ,-73.1333333333333,-36.7000000000000
 Valparaiso ,-71.6333333333333,-33.0333333333333
 Caofeidian Pt ,118.5333333333330,38.9500000000000
 DA CHAN BAY ,113.8666666666660,22.5333333333333
 Dongguan Pt ,113.7500000000000,23.0333333333333
 Dongjiangkou ,119.5225398261820,35.3088853315822
 Fuqing ,119.3666666666660,25.7166666666666
 Huizhou Pt ,114.3666666666660,23.0833333333333
 Humen Pt ,113.6666666666660,22.8333333333333
 Jiangyin ,119.3000000000000,25.4666666666666
 Jinzhou Pt ,121.1500000000000,41.1166666666666
 Lianyungang ,119.4333333333330,34.7166666666666
 Nansha Pt ,113.5833333333330,22.7500000000000
 Nantong Pt ,120.8500000000000,32.0166666666666
 Qinhuangdao Pt ,119.5833333333330,39.9166666666666
 Quanzhou Pt ,118.6000000000000,24.9333333333333
 Rizhao Pt ,119.5333333333330,35.3833333333333
 Shekou Pt ,113.9166666666660,22.4833333333333
 Shidao Pt ,122.4333333333330,36.8666666666666
 Waihai ,113.1333333333330,22.5833333333333
 Weifang Pt ,119.1000000000000,36.7166666666666
 Weihai ,122.1166666666660,37.5166666666666
 Yangpu Pt ,109.2000000000000,19.7000000000000
 Yantian Pt ,119.8666666666660,26.8500000000000
 Yingkou Pt ,122.2166666666660,40.6500000000000
 Zhangjiagang ,120.5333333333330,31.8666666666666
 Zhangzhou Pt ,117.6500000000000,24.5166666666666
 Zhuhai Pt ,113.5666666666660,22.2833333333333
 Caldera ,-84.7166666666666,9.9500000000000
 Moín ,-83.0833333333333,10.0000000000000
 Puerto Limón ,-83.0333333333333,10.0000000000000
 Mariel ,-82.7500000000000,23.0000000000000
 Mindelo ,-25.0000000000000,16.8833333333333
 Limassol ,33.0500000000000,34.6833333333333
 Caucedo ,-69.6333333333333,18.4166666666666
 Manzanillo ,-71.7500000000000,19.7000000000000
 Alger (Algiers) ,3.0500000000000,36.7500000000000
 Arzew ,-0.3166666666667,35.8666666666666
 Ghazaouet ,-1.8500000000000,35.1000000000000
 Esmeraldas ,-79.7000000000000,0.9833333333333
 Guayaquil ,-79.9000000000000,-2.1666666666667
 Posorja ,-80.2500000000000,-2.7000000000000
 Puerto Bolívar ,-79.9833333333333,-3.2666666666667
 Kunda ,26.5333333333333,59.5166666666666
 Muuga ,24.9666666666666,59.5000000000000
 Paldiski ,24.0500000000000,59.3500000000000
 Tallinn ,24.7333333333333,59.4333333333333
 Dumyat (Damietta) ,31.8166666666666,31.4166666666666
 El Iskandariya (Alexandria) ,29.9166666666666,31.1833333333333
 Sokhna Port ,32.3500000000000,29.6500000000000
 Lautoka ,177.4500000000000,-17.6166666666666
 Suva ,178.4500000000000,-18.1333333333333
 Heraklion (Iraklion) ,25.1666666666666,35.3333333333333
 Iraklion (Heraklion) ,25.1666666666666,35.3333333333333
 Piraeus ,23.6166666666666,37.9333333333333
 Thessaloníki ,22.9500000000000,40.6333333333333
 Vólos ,22.9500000000000,39.3666666666666
 Bissau ,-15.5833333333333,11.8500000000000
 Ploce ,17.4333333333333,43.0500000000000
 Rijeka ,14.4000000000000,45.3333333333333
 Split ,16.4500000000000,43.5000000000000
 Balikpapan ,116.8333333333330,-1.2833333333333
 Batam Island ,104.0333333333330,1.0833333333333
 Benete ,116.7166666666660,-8.8666666666667
 Benoa ,115.2166666666660,-8.7666666666667
 Jakarta Java ,106.8333333333330,-6.1333333333333
 Jayapura Irian Jaya ,140.7000000000000,-2.5333333333333
 Kumai ,111.7166666666660,-2.7333333333333
 Makassar ,119.4000000000000,-5.1166666666667
 Padang ,100.3500000000000,-0.9500000000000
 Perawang ,102.8666666666660,1.0666666666667
 Semarang ,110.4833333333330,-6.9666666666667
 Surabaya ,112.7500000000000,-7.2333333333333
 Tanjungpinang ,104.4500000000000,0.9166666666667
 Timika ,136.5500000000000,-4.7500000000000
 Tual ,132.7333333333330,-5.6333333333333
 Umm Qasr Port ,47.9333333333333,30.0333333333333
 Asaluyeh ,52.6000000000000,27.4666666666666
 Bandar Abbas ,56.2666666666666,27.1833333333333
 Bandar Khomeini ,49.1000000000000,30.4333333333333
 Bushehr ,50.8333333333333,28.9666666666666
 Ancona ,13.5000000000000,43.6333333333333
 Bari ,16.8500000000000,41.1333333333333
 Cagliari ,9.1166666666667,39.2166666666666
 Catania ,15.1000000000000,37.5000000000000
 Civitavecchia ,11.8000000000000,42.1000000000000
 Genova ,8.9500000000000,44.4166666666666
 Gioia Tauro ,15.9000000000000,38.4166666666666
 La Spezia ,9.8333333333333,44.1166666666666
 Livorno ,10.3166666666666,43.5500000000000
 Napoli ,14.2500000000000,40.8333333333333
 Olbia ,9.5166666666667,40.9166666666666
 Palermo ,13.3666666666666,38.1166666666666
 Savona ,8.5000000000000,44.2833333333333
 Trapani ,12.4833333333333,38.0166666666666
 Vado Ligure ,8.4500000000000,44.2666666666666
 Venezia ,12.3333333333333,45.4333333333333
 Kâmpóng Saôm ,103.5166666666660,10.6000000000000
 Mutsamudu Anjouan ,44.3833333333333,-12.1500000000000
 Shuaiba ,48.1333333333333,29.0333333333333
 Shuwaikh ,47.9333333333333,29.3500000000000
 Beirut ,35.4833333333333,33.8333333333333
 Colombo ,79.8500000000000,6.9166666666667
 Monrovia ,-10.8000000000000,6.3000000000000
 Al Khums ,14.2666666666666,32.6500000000000
 Giurgiulesti ,28.1833333333333,45.4666666666666
 Bar ,19.0833333333333,42.0833333333333
 Ehoala ,46.9500000000000,-25.0666666666666
 Nosy-Be ,48.2500000000000,-13.3333333333333
 Thilawa ,96.2500000000000,16.6500000000000
 Thilawa ,96.2500000000000,16.6500000000000
 Marsaxlokk ,14.5333333333333,35.8333333333333
 Male ,73.5000000000000,4.1666666666667
 Penang (Georgetown) ,100.3166666666660,5.4166666666667
 Port Klang (Pelabuhan Klang) ,101.4000000000000,3.0000000000000
 Tanjung Pelepas ,103.5500000000000,1.3666666666667
 Lüderitz ,15.1666666666666,-26.6500000000000
 Lekki ,3.1000000000000,6.4500000000000
 Onne ,7.1500000000000,4.7166666666667
 Auckland ,174.8000000000000,-36.8333333333333
 Bluff ,168.3166666666660,-46.6000000000000
 Lyttelton ,172.7166666666660,-43.6000000000000
 Marsden Point ,174.5000000000000,-35.8333333333333
 Napier ,176.9000000000000,-39.4666666666666
 Nelson ,173.2666666666660,-41.2500000000000
 Port Chalmers ,170.6000000000000,-45.8166666666666
 Tauranga ,176.1666666666660,-37.6833333333333
 Timaru ,171.2500000000000,-44.3833333333333
 Wellington ,174.7833333333330,-41.2666666666666
 Colón ,-79.8666666666666,9.3500000000000
 Cristóbal ,-79.9000000000000,9.3500000000000
 Panamá Ciudad de ,-79.5333333333333,8.9666666666667
 Rodman ,-79.5666666666666,8.9500000000000
 Madang ,145.7833333333330,-5.2166666666667
 Motukea Island ,147.1000000000000,-9.4333333333333
 Batangas\/Luzon ,121.0500000000000,13.7500000000000
 General Santos ,125.1500000000000,6.1166666666667
 Tagoloan ,124.7500000000000,8.5333333333333
