Port,Longitude,Latitude
 Abu Dhabi ,24.46666667,54.36666667
 Ar Ruways ,24.11666667,52.73333333
 Khor al Fakkan ,25.33333333,56.35
 Mina Khalid ,25.35,55.36666667
 Mina Khalifa\/Abu Dhabi ,24.83333333,54.66666667
 Umm al Qaiwain ,25.56666667,55.55
 Saint John's ,17.11666667,-61.85
 Pago Pago ,14.26666667,-170.7
 Chattogram ,22.33333333,91.83333333
 Mina Sulman Port ,26.2,50.61666667
 Banana ,-6.003633267,12.40121189
 Pointe Noire ,-4.8,11.85
 Antofagasta ,-23.63333333,-70.38333333
 Arica ,-18.48333333,-70.31666667
 Coronel ,-37.01666667,-73.15
 Iquique ,-20.21666667,-70.13333333
 Lirquén ,-36.7,-72.98333333
 Mejillones ,-23.1,-70.45
 Puerto Angamos ,-23.08333333,-70.45
 Punta Arenas ,-53.13333333,-70.93333333
 San Antonio ,-33.6,-71.6
 San Vicente ,-36.7,-73.13333333
 Valparaiso ,-33.03333333,-71.63333333
 Caofeidian Pt ,38.95,118.5333333
 DA CHAN BAY ,22.53333333,113.8666667
 Dongguan Pt ,23.03333333,113.75
 Dongjiangkou ,35.30888533,119.5225398
 Fuqing ,25.71666667,119.3666667
 Huizhou Pt ,23.08333333,114.3666667
 Humen Pt ,22.83333333,113.6666667
 Jiangyin ,25.46666667,119.3
 Jinzhou Pt ,41.11666667,121.15
 Lianyungang ,34.71666667,119.4333333
 Nansha Pt ,22.75,113.5833333
 Nantong Pt ,32.01666667,120.85
 Qinhuangdao Pt ,39.91666667,119.5833333
 Quanzhou Pt ,24.93333333,118.6
 Rizhao Pt ,35.38333333,119.5333333
 Shekou Pt ,22.48333333,113.9166667
 Shidao Pt ,36.86666667,122.4333333
 Waihai ,22.58333333,113.1333333
 Weifang Pt ,36.71666667,119.1
 Weihai ,37.51666667,122.1166667
 Yangpu Pt ,19.7,109.2
 Yantian Pt ,26.85,119.8666667
 Yingkou Pt ,40.65,122.2166667
 Zhangjiagang ,31.86666667,120.5333333
 Zhangzhou Pt ,24.51666667,117.65
 Zhuhai Pt ,22.28333333,113.5666667
 Caldera ,9.95,-84.71666667
 Moín ,10,-83.08333333
 Puerto Limón ,10,-83.03333333
 Mariel ,23,-82.75
 Mindelo ,16.88333333,-25
 Limassol ,34.68333333,33.05
 Caucedo ,18.41666667,-69.63333333
 Manzanillo ,19.7,-71.75
 Alger (Algiers) ,36.75,3.05
 Arzew ,35.86666667,-0.316666667
 Ghazaouet ,35.1,-1.85
 Esmeraldas ,0.983333333,-79.7
 Guayaquil ,-2.166666667,-79.9
 Posorja ,-2.7,-80.25
 Puerto Bolívar ,-3.266666667,-79.98333333
 Kunda ,59.51666667,26.53333333
